state,state_pop
Alabama,4908621
Alaska,734002
Arizona,7378494
Arkansas,3038999
California,39937489
Colorado,5845526
Connecticut,3563077
Delaware,982895
Florida,21992985
Georgia,10736059
Hawaii,1412687
Idaho,1826156
Illinois,12659682
Indiana,6745354
Iowa,3179849
Kansas,2910357
Kentucky,4499692
Louisiana,4645184
Maine,1345790
Maryland,6083116
Massachusetts,6976597
Michigan,10045029
Minnesota,5700671
Mississippi,2989260
Missouri,6169270
Montana,1086759
Nebraska,1952570
Nevada,3139658
New Hampshire,1371246
New Jersey,8936574
New Mexico,2096640
New York,19440469
North Carolina,10611862
North Dakota,761723
Ohio,11747694
Oklahoma,3954821
Oregon,4301089
Pennsylvania,12820878
Rhode Island,1056161
South Carolina,5210095
South Dakota,903027
Tennessee,6897576
Texas,29472295
Utah,3282115
Vermont,628061
Virginia,8626207
Washington,7797095
West Virginia,1778070
Wisconsin,5851754
Wyoming,567025
