state,fips_code,soe_declared,advisory_enacted,advisors_lifted,advisory_dur,order_enacted,order_relaxed,order_dur,shelter_score,gathering_ban,out_of_state_travel_restricted,biz_restriction_enacted,biz_restriction_relaxed,biz_dur,schools_closed,daycares_closed,bars_and_restaurants_closed,oth-non_essential_closed
 Alabama,1,3/13/2020,4/4/2020,4/30/2020,26,4/4/2020,4/30/2020,26,1.0,0.5,0.0,3/28/2020,4/30/2020,33,1.0,1.0,1.0,1.0
 Alaska,2,3/11/2020,,,,3/28/2020,4/24/2020,27,1.0,0.5,1.0,3/18/2020,5/8/2020,51,1.0,1.0,1.0,1.0
 Arizona,4,3/11/2020,,,,3/31/2020,5/15/2020,45,1.0,0.0,0.5,3/20/2020,4/29/2020,40,1.0,1.0,1.0,1.0
 Arkansas,5,3/11/2020,,,,,,,0.0,0.5,0.0,,,,1.0,1.0,1.0,0.5
 California,6,3/4/2020,,,,3/19/2020,5/12/2020,54,1.0,1.0,0.0,3/19/2020,5/4/2020,46,1.0,1.0,1.0,1.0
 Colorado,8,3/10/2020,3/26/2020,4/26/2020,31,3/26/2020,4/26/2020,31,1.0,0.5,0.0,3/26/2020,5/25/2020,60,1.0,0.5,1.0,1.0
 Connecticut,9,3/10/2020,,,,3/23/2020,5/20/2020,58,1.0,1.0,0.5,3/20/2020,5/20/2020,61,1.0,1.0,1.0,1.0
 Delaware,10,3/12/2020,,,,3/24/2020,5/31/2020,68,1.0,1.0,1.0,3/22/2020,5/8/2020,47,1.0,1.0,1.0,1.0
 Florida,12,3/1/2020,4/3/2020,5/4/2020,31,4/3/2020,5/4/2020,31,1.0,0.5,0.5,3/20/2020,4/29/2020,40,1.0,1.0,1.0,1.0
 Georgia,13,3/14/2020,4/3/2020,4/30/2020,27,4/3/2020,4/30/2020,27,1.0,0.5,0.0,4/3/2020,4/30/2020,27,1.0,0.0,1.0,1.0
 Hawaii,15,3/4/2020,,,,3/25/2020,5/31/2020,67,1.0,0.5,1.0,4/16/2020,5/31/2020,45,1.0,1.0,1.0,1.0
 Idaho,16,3/13/2020,3/25/2020,4/30/2020,36,3/25/2020,4/30/2020,36,1.0,1.0,1.0,3/25/2020,5/1/2020,37,1.0,1.0,1.0,0.5
 Illinois,17,3/9/2020,,,,3/21/2020,5/29/2020,69,1.0,1.0,0.0,3/21/2020,5/29/2020,69,1.0,1.0,1.0,1.0
 Indiana,18,3/6/2020,3/25/2020,5/1/2020,37,3/25/2020,5/4/2020,40,1.0,0.5,0.0,3/24/2020,5/1/2020,38,1.0,1.0,1.0,1.0
 Iowa,19,3/9/2020,,,,,,,0.0,0.5,0.0,3/27/2020,5/1/2020,35,1.0,1.0,1.0,1.0
 Kansas,20,3/9/2020,3/30/2020,5/4/2020,35,3/30/2020,5/3/2020,34,1.0,0.5,0.5,3/30/2020,5/3/2020,34,1.0,0.0,1.0,1.0
 Kentucky,21,3/6/2020,3/26/2020,5/20/2020,55,,,,0.5,0.5,1.0,3/26/2020,5/20/2020,55,1.0,1.0,1.0,1.0
 Louisiana,22,3/11/2020,,,,3/23/2020,5/15/2020,53,1.0,0.5,0.0,3/23/2020,5/15/2020,53,1.0,1.0,1.0,1.0
 Maine,23,3/15/2020,4/2/2020,4/30/2020,28,4/2/2020,5/31/2020,59,1.0,0.5,1.0,4/2/2020,5/1/2020,29,1.0,1.0,1.0,0.5
 Maryland,24,3/5/2020,3/30/2020,5/15/2020,46,3/30/2020,5/15/2020,46,1.0,0.5,1.0,3/30/2020,5/15/2020,46,1.0,1.0,1.0,1.0
 Massachusetts,25,3/10/2020,3/24/2020,5/18/2020,55,,,,0.5,0.5,1.0,3/24/2020,5/18/2020,55,1.0,1.0,1.0,1.0
 Michigan,26,3/11/2020,,,,3/24/2020,6/1/2020,69,1.0,1.0,0.0,3/24/2020,6/8/2020,76,1.0,1.0,1.0,1.0
 Minnesota,27,3/13/2020,,,,3/27/2020,5/17/2020,51,1.0,1.0,0.0,3/27/2020,4/27/2020,31,1.0,1.0,1.0,1.0
 Mississippi,28,3/4/2020,4/3/2020,4/27/2020,24,4/3/2020,4/27/2020,24,1.0,1.0,0.0,4/3/2020,4/27/2020,24,1.0,0.0,1.0,1.0
 Missouri,29,3/13/2020,4/6/2020,5/3/2020,27,4/6/2020,5/3/2020,27,1.0,0.5,0.5,4/6/2020,5/4/2020,28,1.0,0.0,1.0,1.0
 Montana,30,3/12/2020,3/28/2020,4/26/2020,29,3/28/2020,4/26/2020,29,1.0,0.5,1.0,3/28/2020,4/26/2020,29,1.0,1.0,1.0,1.0
 Nebraska,31,3/13/2020,,,,,,,0.0,0.5,0.5,4/3/2020,5/4/2020,31,1.0,0.5,0.5,0.0
 Nevada,32,3/12/2020,,,,4/1/2020,5/9/2020,38,1.0,0.5,1.0,4/1/2020,5/9/2020,38,1.0,1.0,1.0,1.0
 New Hampshire,33,3/13/2020,,,,3/27/2020,6/15/2020,80,1.0,0.0,1.0,3/27/2020,5/11/2020,45,1.0,1.0,1.0,1.0
 New Jersey,34,3/9/2020,,,,3/21/2020,6/9/2020,80,1.0,1.0,0.0,3/21/2020,6/9/2020,80,1.0,1.0,1.0,1.0
 New Mexico,35,3/11/2020,,,,3/24/2020,5/31/2020,68,1.0,0.5,1.0,3/24/2020,5/16/2020,53,1.0,1.0,1.0,1.0
 New York,36,3/7/2020,,,,3/22/2020,5/22/2020,61,1.0,1.0,0.0,3/22/2020,5/15/2020,54,1.0,1.0,1.0,1.0
 North Carolina,37,3/10/2020,,,,3/30/2020,5/8/2020,39,1.0,0.5,0.0,3/30/2020,5/8/2020,39,1.0,1.0,1.0,1.0
 North Dakota,38,3/13/2020,,,,,,,0.0,0.0,1.0,3/20/2020,5/1/2020,42,1.0,1.0,1.0,1.0
 Ohio,39,3/9/2020,,,,3/23/2020,5/29/2020,67,1.0,0.5,1.0,3/23/2020,5/12/2020,50,1.0,0.5,1.0,1.0
 Oklahoma,40,3/15/2020,,,,,,,0.5,0.5,0.5,3/25/2020,4/24/2020,30,1.0,1.0,1.0,1.0
 Oregon,41,3/8/2020,,,,3/23/2020,6/23/2020,92,1.0,1.0,0.0,3/17/2020,6/15/2020,90,1.0,1.0,1.0,0.5
 Pennsylvania,42,3/6/2020,,,,4/1/2020,6/4/2020,64,1.0,0.0,0.5,4/1/2020,5/8/2020,37,1.0,1.0,1.0,1.0
 Rhode Island,44,3/9/2020,,,,3/28/2020,5/8/2020,41,1.0,0.0,1.0,3/28/2020,5/8/2020,41,1.0,1.0,1.0,1.0
 South Carolina,45,3/13/2020,4/7/2020,5/4/2020,27,4/7/2020,5/4/2020,27,1.0,0.0,0.5,4/7/2020,5/1/2020,24,1.0,1.0,1.0,1.0
 South Dakota,46,3/13/2020,,,,,,,0.5,0.0,0.0,,,,1.0,1.0,0.0,0.0
 Tennessee,47,3/12/2020,3/31/2020,4/30/2020,30,4/2/2020,4/30/2020,28,1.0,0.5,0.0,3/31/2020,4/27/2020,27,1.0,1.0,1.0,1.0
 Texas,48,3/13/2020,4/2/2020,4/30/2020,28,4/2/2020,4/30/2020,28,1.0,0.5,0.5,4/2/2020,4/24/2020,22,1.0,1.0,1.0,1.0
 Utah,49,3/6/2020,,,,,,,0.5,0.5,0.0,3/18/2020,5/1/2020,44,1.0,1.0,1.0,0.5
 Vermont,50,3/16/2020,,,,3/25/2020,5/15/2020,51,1.0,0.5,1.0,3/25/2020,5/15/2020,51,1.0,1.0,1.0,1.0
 Virginia,51,3/12/2020,,,,3/30/2020,6/10/2020,72,1.0,0.5,0.0,3/24/2020,5/15/2020,52,1.0,1.0,1.0,0.5
 Washington,53,2/29/2020,,,,3/23/2020,5/31/2020,69,1.0,1.0,0.0,3/23/2020,5/31/2020,69,1.0,1.0,1.0,1.0
 West Virginia,54,3/4/2020,3/23/2020,5/4/2020,42,3/23/2020,5/3/2020,41,1.0,1.0,0.0,3/18/2020,5/3/2020,46,1.0,1.0,1.0,1.0
 Wisconsin,55,3/12/2020,3/25/2020,5/13/2020,49,3/25/2020,5/13/2020,49,1.0,1.0,1.0,3/25/2020,5/13/2020,49,1.0,0.5,1.0,1.0
 Wyoming,56,3/12/2020,,,,,,,0.5,0.5,1.0,3/19/2020,5/1/2020,43,1.0,1.0,1.0,0.0
